Severity,File,Line,Pattern,Content
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",210,"ElementCatalog","// In ElementCatalog.ts - add primitiveType field to each element"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",279,"ElementCatalog","1. `src/omega-ui-core/governance/ElementCatalog.ts`"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",253,"throw new Error","if (!def) throw new Error(`Unknown cell type: ${node.cellRef}`);"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",258,"throw new Error","if (error) throw new Error(error);"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",187,"validate","function validateAgainstRule(node: OmegaNode; rule: ValidationRule): string | null {"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",250,"validate","static validate(nodes: OmegaNode[]; manifest: OMEGA_Manifest) {"
LOW,"docs\archive\implemented-plans\ANALYSIS-element-catalog-enrichment.md",257,"validate","const error = validateAgainstRule(node; rule);"
LOW,"docs\archive\implemented-plans\cell_analisis.md",59,"ElementCatalog","- ✅ **ElementCatalog**: Governance unificado ADR-043/046 (1100 líneas)."
LOW,"docs\archive\implemented-plans\MIGRATION_PLAN_CELLSTUDIO_STEPPER.md",56,"validate","BlueprintValidator.validateQuietly(entityToNode(cellData); manifest);"
LOW,"docs\archive\implemented-plans\MIGRATION_PLAN_CELLSTUDIO_STEPPER.md",148,"validate","BlueprintValidator.validateQuietly(entityToNode(cellData); { resources: manifest?.resources });"
LOW,"docs\archive\implemented-plans\OMEGA_Remediation_Map.md",24,"allowedFragments","*   **Decoupled UX**: `allowedFragments` and `capabilities` are UI hints. If a node in the UCA tree contains non-standard data; it must be rendered and persisted regardless of catalog state."
LOW,"docs\archive\implemented-plans\OMEGA_Remediation_Map.md",17,"ElementCatalog","| `src/omega-ui-core/governance/ElementCatalog.ts` | Low | Keep explicit warnings and maintain it as a consultative inventory. | **Low** | ✅ Documented |"
LOW,"docs\drift_report.md",354,"ElementCatalog","- `src/omega-ui-core/governance/ElementCatalog.ts` (missing: English)"
LOW,"docs\OMEGA_Remediation_Map.md",24,"allowedFragments","*   **Decoupled UX**: `allowedFragments` and `capabilities` are UI hints. If a node in the UCA tree contains non-standard data; it must be rendered and persisted regardless of catalog state."
LOW,"docs\OMEGA_Remediation_Map.md",17,"ElementCatalog","| `src/omega-ui-core/governance/ElementCatalog.ts` | Low | Keep explicit warnings and maintain it as a consultative inventory. | **Low** | ✅ Documented |"
LOW,"docs\specs-and-architecture\SIMPLIFIED_MODEL_PROPOSAL.md",165,"ElementCatalog","### ElementCatalog (se conserva)"
LOW,"docs\specs-and-architecture\SIMPLIFIED_MODEL_PROPOSAL.md",167,"ElementCatalog","El `ElementCatalog.ts` (1100 LOC) define para cada tipo de componente: variantes disponibles; slots de composición; reglas de validación; capacidades estéticas. Es dato valioso que se conserva y se usa para:"
LOW,"docs\specs-and-architecture\SIMPLIFIED_MODEL_PROPOSAL.md",282,"ElementCatalog","Los selects de variante se pueblan desde `ElementCatalog` (ej: para `knob`; busca las variants del elemento `knob` en el catálogo: `A_cyan`; `B_amber`; `C_ruby`; `D_jade`)."
LOW,"docs\specs-and-architecture\SIMPLIFIED_MODEL_PROPOSAL.md",502,"ElementCatalog","| **ElementCatalog** | `governance/ElementCatalog.ts` | 1;100 | Variantes; validaciones; slots; capacidades — fuente de datos para editores |"
LOW,"docs\specs-and-architecture\SIMPLIFIED_MODEL_PROPOSAL.md",603,"ElementCatalog","- **3.2–3.9**: Cada editor usa controles nativos (select para variante; color picker para color; input para bind; etc.). Los selects de variante se pueblan desde `ElementCatalog` (ej: para `knob`; busca las variants del elemento `knob` en el catálogo)."
LOW,"docs\specs-and-architecture\SIMPLIFIED_MODEL_PROPOSAL.md",639,"ElementCatalog","| 5.1 Eliminar UCA tree (excepto ElementCatalog) | `uca/` ~17 files | ~2;150 | 2.3; 3.12 |"
LOW,"scripts\document-codebase.mjs",345,"throw new Error","throw new Error(`Ollama returned status ${response.status}`);"
LOW,"scripts\document-codebase.mjs",407,"throw new Error","throw new Error(""All cloud providers failed."");"
LOW,"scripts\document-codebase.mjs",424,"throw new Error","throw new Error(`Failed to generate description: both local Ollama and cloud providers failed.`);"
LOW,"scripts\document-codebase.mjs",427,"throw new Error","throw new Error(`Failed to generate description: local Ollama failed and no cloud providers are configured.`);"
LOW,"scripts\document-codebase.mjs",443,"throw new Error","throw new Error(`Failed to generate description: both cloud providers and local Ollama failed.`);"
